sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB147	1.0	NC_000962.3	1	4411532	242146	3152612	71.463	6.79878	39.5	60
Yale-TB151	0.05	NC_000962.3	1	4411532	2353	188925	4.28253	0.0695733	39.5	60
Yale-TB151	0.125	NC_000962.3	1	4411532	5878	449301	10.1847	0.173356	39.5	60
Yale-TB151	0.1	NC_000962.3	1	4411532	4733	365544	8.2861	0.13941	39.5	60
Yale-TB151	0.25	NC_000962.3	1	4411532	11803	825540	18.7132	0.347542	39.5	60
Yale-TB151	0.5	NC_000962.3	1	4411532	23723	1427493	32.3582	0.700279	39.5	60
Yale-TB151	1.0	NC_000962.3	1	4411532	47670	2235383	50.6714	1.40422	39.5	60
Yale-TB120	0.05	NC_000962.3	1	4411532	282942	1730190	39.2197	8.08877	39.5	60
Yale-TB120	0.125	NC_000962.3	1	4411532	708297	2324115	52.6827	20.2416	39.6	60
Yale-TB120	0.1	NC_000962.3	1	4411532	567051	2190541	49.6549	16.2055	39.6	60
Yale-TB120	0.25	NC_000962.3	1	4411532	1415021	2708069	61.3861	40.4377	39.5	60
Yale-TB120	0.5	NC_000962.3	1	4411532	2825572	3061851	69.4056	80.7329	39.5	60
Yale-TB120	1.0	NC_000962.3	1	4411532	5655410	3425404	77.6466	161.56	39.5	60
Yale-TB119	0.05	NC_000962.3	1	4411532	61145	1764446	39.9962	1.70473	39.6	60
Yale-TB119	0.125	NC_000962.3	1	4411532	153705	2788614	63.2119	4.28805	39.6	60
Yale-TB119	0.1	NC_000962.3	1	4411532	122882	2537589	57.5217	3.42813	39.6	60
Yale-TB119	0.25	NC_000962.3	1	4411532	309037	3459746	78.425	8.62004	39.6	60
Yale-TB119	0.5	NC_000962.3	1	4411532	616187	3899530	88.394	17.183	39.6	60
Yale-TB119	1.0	NC_000962.3	1	4411532	1232021	4117668	93.3387	34.3576	39.6	60
Yale-TB135	0.05	NC_000962.3	1	4411532	23509	707238	16.0316	0.615888	39.5	60
Yale-TB135	0.125	NC_000962.3	1	4411532	59210	1389180	31.4897	1.55346	39.5	60
Yale-TB135	0.1	NC_000962.3	1	4411532	47165	1188032	26.9301	1.23735	39.5	60
Yale-TB135	0.25	NC_000962.3	1	4411532	118383	2096486	47.5229	3.1049	39.5	60
Yale-TB135	0.5	NC_000962.3	1	4411532	236877	2907915	65.9162	6.21835	39.5	60
Yale-TB135	1.0	NC_000962.3	1	4411532	473572	3648949	82.7139	12.4412	39.5	60
Yale-TB154	0.05	NC_000962.3	1	4411532	106755	2027385	45.9565	3.01198	39.6	60
Yale-TB154	0.125	NC_000962.3	1	4411532	266734	2947549	66.8146	7.52928	39.6	60
Yale-TB154	0.1	NC_000962.3	1	4411532	213003	2737671	62.0571	6.01333	39.6	60
Yale-TB154	0.25	NC_000962.3	1	4411532	532313	3499032	79.3156	15.0234	39.6	60
Yale-TB154	0.5	NC_000962.3	1	4411532	1065002	3863114	87.5685	30.0657	39.6	60
Yale-TB154	1.0	NC_000962.3	1	4411532	2132847	4060401	92.0406	60.2115	39.6	60
Yale-TB112	0.05	NC_000962.3	1	4411532	64555	598939	13.5767	1.75255	39.6	60
Yale-TB112	0.125	NC_000962.3	1	4411532	162410	1074428	24.355	4.41011	39.6	60
Yale-TB112	0.1	NC_000962.3	1	4411532	129742	928521	21.0476	3.52311	39.6	60
Yale-TB112	0.25	NC_000962.3	1	4411532	325156	1591523	36.0764	8.84148	39.6	60
Yale-TB112	0.5	NC_000962.3	1	4411532	650752	2248646	50.972	17.6841	39.6	60
Yale-TB112	1.0	NC_000962.3	1	4411532	1301395	2913358	66.0396	35.3572	39.6	60
Yale-TB129	0.05	NC_000962.3	1	4411532	46402	1319898	29.9193	1.28397	39.6	60
Yale-TB129	0.125	NC_000962.3	1	4411532	115566	2199148	49.85	3.195	39.6	60
Yale-TB129	0.1	NC_000962.3	1	4411532	92496	1972021	44.7015	2.55661	39.6	60
Yale-TB129	0.25	NC_000962.3	1	4411532	231647	2909343	65.9486	6.40694	39.6	60
Yale-TB129	0.5	NC_000962.3	1	4411532	463040	3485399	79.0065	12.8037	39.6	60
Yale-TB129	1.0	NC_000962.3	1	4411532	924646	3865526	87.6232	25.5554	39.6	60
Yale-TB140	0.05	NC_000962.3	1	4411532	1543	103006	2.33493	0.0433493	39.5	60
Yale-TB140	0.125	NC_000962.3	1	4411532	3836	236334	5.35719	0.106716	39.5	60
Yale-TB140	0.1	NC_000962.3	1	4411532	3060	193035	4.37569	0.0852804	39.6	60
Yale-TB140	0.25	NC_000962.3	1	4411532	7627	436658	9.8981	0.212063	39.6	60
Yale-TB140	0.5	NC_000962.3	1	4411532	15246	766412	17.3729	0.425041	39.6	60
Yale-TB140	1.0	NC_000962.3	1	4411532	30577	1246820	28.2627	0.853979	39.6	60
Yale-TB125	0.05	NC_000962.3	1	4411532	105921	245653	5.56843	2.91316	39.6	60
Yale-TB125	0.125	NC_000962.3	1	4411532	265756	419690	9.51348	7.31015	39.6	60
Yale-TB125	0.1	NC_000962.3	1	4411532	212399	366112	8.29898	5.84274	39.6	60
Yale-TB125	0.25	NC_000962.3	1	4411532	530887	628623	14.2495	14.6029	39.6	60
