Sample_ID	Pathogen	Template_Dilution	Assay	FAM_Target	FAM_Ct	Cy5_Target	Cy5_Ct	starting_quantity	Run_ID	Run_Date	Notes
Peru-8	MTB		TB	lpp2	18.16			338311.332	TB004	2024-06-10	
Peru-9	MTB		TB	lpp2	23.80			8296.52691	TB004	2024-06-10	
Peru-10	MTB		TB	lpp2	17.28			601927.428	TB004	2024-06-10	
Peru-11	MTB		TB	lpp2	34.55			7.11329106	TB004	2024-06-10	
Peru-12	MTB		TB	lpp2	23.29			11656.8465	TB004	2024-06-10	
Peru-13	MTB		TB	lpp2	34.93			5.53874601	TB004	2024-06-10	
Peru-14	MTB		TB	lpp2	18.33			301980.336	TB004	2024-06-10	
Peru-15	MTB		TB	lpp2	17.28			604181.881	TB004	2024-06-10	
Peru-16	MTB		TB	lpp2	19.27			163545.59	TB004	2024-06-10	
Peru-17	MTB		TB	lpp2	16.10			1309254.47	TB004	2024-06-10	
Peru-18	MTB		TB	lpp2	24.51			5218.79261	TB004	2024-06-10	
Peru-19	MTB		TB	lpp2	24.63			4822.26405	TB004	2024-06-10	
Peru-20	MTB		TB	lpp2	20.57			69233.8227	TB004	2024-06-10	
Peru-21	MTB		TB	lpp2	21.66			33806.7496	TB004	2024-06-10	
Peru-22	MTB		TB	lpp2	21.96			27813.7709	TB004	2024-06-10	
Peru-23	MTB		TB	lpp2	19.10			182768.868	TB004	2024-06-10	
Peru-24	MTB		TB	lpp2	21.57			35905.4998	TB004	2024-06-10	
Peru-25	MTB		TB	lpp2	14.22			4497648.77	TB004	2024-06-10	
Peru-26	MTB		TB	lpp2	15.77			1626345.47	TB004	2024-06-10	
Peru-27	MTB		TB	lpp2	24.67			4694.20906	TB004	2024-06-10	
Peru-28	MTB		TB	lpp2	21.41			40051.533	TB004	2024-06-10	
Peru-29	MTB		TB	lpp2	18.67			241808.978	TB004	2024-06-10	
Peru-30	MTB		TB	lpp2	27.20			888.109778	TB004	2024-06-10	
Peru-31	MTB		TB	lpp2	21.81			30670.0514	TB004	2024-06-10	
Peru-32	MTB		TB	lpp2	21.76			31661.7591	TB004	2024-06-10	
Peru-33	MTB		TB	lpp2	19.59			132078.977	TB004	2024-06-10	
Peru-34	MTB		TB	lpp2	22.32			21971.4888	TB004	2024-06-10	
Peru-35	MTB		TB	lpp2	15.81			1582648.48	TB004	2024-06-10	
Peru-36	MTB		TB	lpp2	16.79			830194.199	TB004	2024-06-10	
Peru-37	MTB		TB	lpp2	25.68			2420.92143	TB004	2024-06-10	
Peru-38	MTB		TB	lpp2	17.98			380041.189	TB004	2024-06-10	
Peru-39	MTB		TB	lpp2	34.33			8.22838806	TB004	2024-06-10	
Peru-40	MTB		TB	lpp2	34.68			6.51461799	TB004	2024-06-10	
AFB1	MTB		TB	lpp2	NaN				TB004	2024-06-10	
AFB3	MTB		TB	lpp2	NaN				TB004	2024-06-10	
AFB4	MTB		TB	lpp2	NaN	 			TB004	2024-06-10	
AFB5	MTB		TB	lpp2	NaN				TB004	2024-06-10	
AFB6	MTB		TB	lpp2	NaN				TB004	2024-06-10	
AFB7	MTB		TB	lpp2	NaN				TB004	2024-06-10	
AFB8	MTB		TB	lpp2	NaN				TB004	2024-06-10	
AFB9	MTB		TB	lpp2	NaN				TB004	2024-06-10	
Peru-41	MTB		TB	lpp2	19.34			154839.733	TB005	2024-07-10	
Peru-42	MTB		TB	lpp2	18.60			256626.25	TB005	2024-07-10	
Peru-43	MTB		TB	lpp2	20.49			70311.609	TB005	2024-07-10	
Peru-44	MTB		TB	lpp2	20.47			71332.6551	TB005	2024-07-10	
Peru-45	MTB		TB	lpp2	21.68			31163.203	TB005	2024-07-10	
Peru-46	MTB		TB	lpp2	19.13			178117.826	TB005	2024-07-10	
Peru-47	MTB		TB	lpp2	26.96			842.412762	TB005	2024-07-10	
Peru-48	MTB		TB	lpp2	20.94			51807.2047	TB005	2024-07-10	
Peru-49	MTB		TB	lpp2	19.43			145411.677	TB005	2024-07-10	
Peru-50	MTB		TB	lpp2	20.83			55663.3961	TB005	2024-07-10	
Peru-51	MTB		TB	lpp2	18.66			245859.188	TB005	2024-07-10	
Peru-52	MTB		TB	lpp2	18.32			310986.314	TB005	2024-07-10	
Peru-53	MTB		TB	lpp2	20.77			58066.6339	TB005	2024-07-10	
Peru-54	MTB		TB	lpp2	20.42			73951.0446	TB005	2024-07-10	
Peru-55	MTB		TB	lpp2	22.06			24021.5074	TB005	2024-07-10	
Peru-56	MTB		TB	lpp2	18.59			257744.585	TB005	2024-07-10	
Peru-57	MTB		TB	lpp2	26.98			828.871049	TB005	2024-07-10	
Peru-58	MTB		TB	lpp2	21.59			33249.8121	TB005	2024-07-10	
Peru-59	MTB		TB	lpp2	18.27			321880.962	TB005	2024-07-10	
Peru-60	MTB		TB	lpp2	20.59			65844.3836	TB005	2024-07-10	
A889-CE	S.pneumo		S.pneumo_LytA-PiaB	LytA	25.05	PiaB	26.23	8.88E+03	SP001	2024-09-23	
B042-CE	S.pneumo		S.pneumo_LytA-PiaB	LytA	27.16	PiaB	28.21	1.95E+03	SP001	2024-09-23	
C677-CE	S.pneumo		S.pneumo_LytA-PiaB	LytA	24.52	PiaB	25.79	1.28E+04	SP001	2024-09-23	
W1526-CE	S.pneumo		S.pneumo_LytA-PiaB	LytA	30.47	PiaB	31.86	1.81E+02	SP001	2024-09-23	
W1527-D	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	36.29	NA	SP001	2024-09-23	
W1695-CE	S.pneumo		S.pneumo_LytA-PiaB	LytA	28.14	PiaB	29.26	9.62E+02	SP001	2024-09-23	
W3317-D	S.pneumo		S.pneumo_LytA-PiaB	LytA	35.79	PiaB	30.20	2.29E+00	SP001	2024-09-23	
W3371-CE	S.pneumo		S.pneumo_LytA-PiaB	LytA	31.63	PiaB	33.15	7.85E+01	SP001	2024-09-23	
W4034-CE	S.pneumo		S.pneumo_LytA-PiaB	LytA	26.43	PiaB	27.71	3.26E+03	SP001	2024-09-23	
A889-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	26.96	PiaB	27.50	2.23E+03	SP001	2024-09-23	
B042-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	32.24	PiaB	32.90	5.08E+01	SP001	2024-09-23	
C677-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	29.70	PiaB	29.87	3.12E+02	SP001	2024-09-23	
W1526-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	36.91	PiaB	37.10	1.757	SP001	2024-09-23	
W1527-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	37.65	NA	SP001	2024-09-23	
W1695-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	38.12	PiaB	40.22	7.56E-01	SP001	2024-09-23	
W3317-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	33.09	PiaB	33.88	2.74E+01	SP001	2024-09-23	
W3371-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	37.87	PiaB	38.04	8.89E-01	SP001	2024-09-23	
W4034-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	34.45	PiaB	35.11	1.04E+01	SP001	2024-09-23	
A889-NP	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP001	2024-09-23	
B042-NP	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP001	2024-09-23	
C677-NP	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP001	2024-09-23	
W1527-CI	S.pneumo		S.pneumo_LytA-PiaB	LytA	14.26	PiaB	14.22	2.03E+07	SP001	2024-09-23	
W3317-CI	S.pneumo		S.pneumo_LytA-PiaB	LytA	14.03	PiaB	14.08	2.40E+07	SP001	2024-09-23	
W4034-CI	S.pneumo		S.pneumo_LytA-PiaB	LytA	16.30	PiaB	17.19	4.68E+06	SP001	2024-09-23	
B013-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP001	2024-09-23	
B595-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
B015-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	39.81	PiaB	NaN	1.80E-01	SP002	2024-09-23	
W2987-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	38.36	PiaB	NaN	0.505588	SP002	2024-09-23	
B687-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
W1075-S	S.pneumo		S.pneumo_LytA-PiaB	LytA	38.22	PiaB	NaN	0.557383	SP002	2024-09-23	
B687N-NP	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
B013N-NP	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
B015N-NP	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
B595-D	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
B013-D	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
B015-D	S.pneumo		S.pneumo_LytA-PiaB	LytA	30.52	PiaB	NaN	136.0042	SP002	2024-09-23	
W1075-D	S.pneumo		S.pneumo_LytA-PiaB	LytA	31.74	PiaB	33.72	56.90911	SP002	2024-09-23	
W2987-D	S.pneumo		S.pneumo_LytA-PiaB	LytA	30.31	PiaB	33.79	157.459	SP002	2024-09-23	
B687	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
NEC1-GREEN	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
NEC2-THICK	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
NEC3-THIN	S.pneumo		S.pneumo_LytA-PiaB	LytA	NaN	PiaB	NaN	NA	SP002	2024-09-23	
NEC4-YELLOW	S.pneumo		S.pneumo_LytA-PiaB	LytA	37.42	PiaB	NaN	9.90E-01	SP002	2024-09-23	
CDC	S.pneumo		S.pneumo_LytA-PiaB	LytA	15.32	PiaB	16.74	6.97E+06	SP002	2024-09-23	
H54	S.pneumo		S.pneumo_LytA-PiaB	LytA	13.86	PiaB	15.29	1.97E+07	SP002	2024-09-23	
H74	S.pneumo		S.pneumo_LytA-PiaB	LytA	14.63	PiaB	16.06	1.14E+07	SP002	2024-09-23	
H141	S.pneumo		S.pneumo_LytA-PiaB	LytA	14.86	PiaB	16.48	9.68E+06	SP002	2024-09-23	
H136	S.pneumo		S.pneumo_LytA-PiaB	LytA	14.74	PiaB	17.29	1.05E+07	SP002	2024-09-23	
H122	S.pneumo		S.pneumo_LytA-PiaB	LytA	15.09	PiaB	17.09	8.22E+06	SP002	2024-09-23	
